Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
11.2,2025-01-11,Saturday,13:30:00,3.12,0.1,PE,3220.0,Sell,2025-01-11,Saturday,17:25:00,0.01,0.31100000000000005,99.6794871794872,2025-01-11,,,Exit Condition Met For Trade
12,2025-01-12,,13:30:00,3266.97,,,,,2025-01-12,,17:25:00,3254.28,0.5700000000000001,,,0.5700000000000001,-0.9329999999999999,Exit Condition Met For Trade
12.1,2025-01-12,Sunday,13:30:00,4.27,0.1,CE,3280.0,Sell,2025-01-12,Sunday,17:25:00,0.01,0.426,99.76580796252928,2025-01-12,,,Exit Condition Met For Trade
12.2,2025-01-12,Sunday,13:30:00,1.49,0.1,PE,3240.0,Sell,2025-01-12,Sunday,17:25:00,0.09,0.13999999999999999,93.95973154362416,2025-01-12,,,Exit Condition Met For Trade
13,2025-01-13,,13:30:00,3201.77,,,,,2025-01-13,,17:25:00,3073.07,-8.08,,,0.09799999999999986,-8.192,Exit Condition Met For Trade
13.1,2025-01-13,Monday,13:30:00,8.08,0.1,CE,3220.0,Sell,2025-01-13,Monday,17:25:00,0.01,0.807,99.87623762376238,2025-01-13,,,Exit Condition Met For Trade
13.2,2025-01-13,Monday,13:30:00,6.52,0.1,PE,3180.0,Sell,2025-01-13,Monday,17:25:00,95.37,-8.885000000000002,-1362.7300613496934,2025-01-13,,,Exit Condition Met For Trade
14,2025-01-14,,13:30:00,3171.35,,,,,2025-01-14,,17:25:00,3217.32,-0.39,,,0.485,-4.204000000000001,Exit Condition Met For Trade
14.1,2025-01-14,Tuesday,13:30:00,4.2,0.1,CE,3200.0,Sell,2025-01-14,Tuesday,17:25:00,17.23,-1.3030000000000002,-310.23809523809524,2025-01-14,,,Exit Condition Met For Trade
14.2,2025-01-14,Tuesday,13:30:00,9.06,0.1,PE,3160.0,Sell,2025-01-14,Tuesday,17:25:00,0.01,0.9050000000000001,99.88962472406182,2025-01-14,,,Exit Condition Met For Trade
15,2025-01-15,,13:30:00,3233.11,,,,,2025-01-15,,17:25:00,3198.91,-0.97,,,0.536,-1.762,Exit Condition Met For Trade
15.1,2025-01-15,Wednesday,13:30:00,5.07,0.1,CE,3260.0,Sell,2025-01-15,Wednesday,17:25:00,0.01,0.5060000000000001,99.80276134122289,2025-01-15,,,Exit Condition Met For Trade
15.2,2025-01-15,Wednesday,13:30:00,8.39,0.1,PE,3220.0,Sell,2025-01-15,Wednesday,17:25:00,23.21,-1.4820000000000002,-176.6388557806913,2025-01-15,,,Exit Condition Met For Trade
16,2025-01-16,,13:30:00,3384.21,,,,,2025-01-16,,17:25:00,3354.29,-0.32999999999999996,,,0.1549999999999998,-4.455,Exit Condition Met For Trade
16.1,2025-01-16,Thursday,13:30:00,8.28,0.1,CE,3400.0,Sell,2025-01-16,Thursday,17:25:00,0.01,0.827,99.8792270531401,2025-01-16,,,Exit Condition Met For Trade
16.2,2025-01-16,Thursday,13:30:00,5.55,0.1,PE,3360.0,Sell,2025-01-16,Thursday,17:25:00,17.19,-1.1640000000000001,-209.72972972972974,2025-01-16,,,Exit Condition Met For Trade
17,2025-01-17,,13:30:00,3373.01,,,,,2025-01-17,,17:25:00,3423.02,-1.11,,,0.3029999999999997,-2.233,Exit Condition Met For Trade
17.1,2025-01-17,Friday,13:30:00,6.29,0.1,CE,3400.0,Sell,2025-01-17,Friday,17:25:00,26.87,-2.0580000000000003,-327.1860095389507,2025-01-17,,,Exit Condition Met For Trade
17.2,2025-01-17,Friday,13:30:00,9.52,0.1,PE,3360.0,Sell,2025-01-17,Friday,17:25:00,0.01,0.9510000000000001,99.89495798319328,2025-01-17,,,Exit Condition Met For Trade
18,2025-01-18,,13:30:00,3287.51,,,,,2025-01-18,,17:25:00,3310.34,1.45,,,1.45,-1.2270000000000003,Exit Condition Met For Trade
18.1,2025-01-18,Saturday,13:30:00,9.6,0.1,CE,3300.0,Sell,2025-01-18,Saturday,17:25:00,0.01,0.9590000000000001,99.89583333333334,2025-01-18,,,Exit Condition Met For Trade
18.2,2025-01-18,Saturday,13:30:00,4.89,0.1,PE,3260.0,Sell,2025-01-18,Saturday,17:25:00,0.01,0.488,99.79550102249489,2025-01-18,,,Exit Condition Met For Trade
19,2025-01-19,,13:30:00,3276.07,,,,,2025-01-19,,17:25:00,3139.76,-9.59,,,0.1259999999999999,-9.809000000000001,Exit Condition Met For Trade
19.1,2025-01-19,Sunday,13:30:00,7.67,0.1,CE,3300.0,Sell,2025-01-19,Sunday,17:25:00,0.01,0.766,99.86962190352021,2025-01-19,,,Exit Condition Met For Trade
19.2,2025-01-19,Sunday,13:30:00,6.5,0.1,PE,3260.0,Sell,2025-01-19,Sunday,17:25:00,110.14,-10.364,-1594.4615384615386,2025-01-19,,,Exit Condition Met For Trade
20,2025-01-20,,13:30:00,3382.81,,,,,2025-01-20,,17:25:00,3372.34,3.26,,,3.26,-0.1759999999999997,Exit Condition Met For Trade
20.1,2025-01-20,Monday,13:30:00,18.51,0.1,CE,3400.0,Sell,2025-01-20,Monday,17:25:00,0.47,1.8040000000000003,97.46083198271205,2025-01-20,,,Exit Condition Met For Trade
20.2,2025-01-20,Monday,13:30:00,16.85,0.1,PE,3360.0,Sell,2025-01-20,Monday,17:25:00,2.3,1.455,86.35014836795251,2025-01-20,,,Exit Condition Met For Trade
21,2025-01-21,,13:30:00,3254.92,,,,,2025-01-21,,17:25:00,3308.57,-0.07999999999999985,,,0.9880000000000002,-0.9780000000000002,Exit Condition Met For Trade
21.1,2025-01-21,Tuesday,13:30:00,10.46,0.1,CE,3280.0,Sell,2025-01-21,Tuesday,17:25:00,24.75,-1.429,-136.61567877629062,2025-01-21,,,Exit Condition Met For Trade
21.2,2025-01-21,Tuesday,13:30:00,13.47,0.1,PE,3240.0,Sell,2025-01-21,Tuesday,17:25:00,0.01,1.346,99.92576095025983,2025-01-21,,,Exit Condition Met For Trade
22,2025-01-22,,13:30:00,3287.92,,,,,2025-01-22,,17:25:00,3327.42,-0.12,,,0.761,-0.3460000000000001,Exit Condition Met For Trade
22.1,2025-01-22,Wednesday,13:30:00,9.77,0.1,CE,3300.0,Sell,2025-01-22,Wednesday,17:25:00,15.92,-0.6150000000000001,-62.94779938587513,2025-01-22,,,Exit Condition Met For Trade
22.2,2025-01-22,Wednesday,13:30:00,5.01,0.1,PE,3260.0,Sell,2025-01-22,Wednesday,17:25:00,0.01,0.5,99.8003992015968,2025-01-22,,,Exit Condition Met For Trade
23,2025-01-23,,13:30:00,3233.41,,,,,2025-01-23,,17:25:00,3211.0,0.43,,,0.4839999999999999,-1.685,Exit Condition Met For Trade
23.1,2025-01-23,Thursday,13:30:00,4.69,0.1,CE,3260.0,Sell,2025-01-23,Thursday,17:25:00,0.01,0.4680000000000001,99.78678038379532,2025-01-23,,,Exit Condition Met For Trade
23.2,2025-01-23,Thursday,13:30:00,8.62,0.1,PE,3220.0,Sell,2025-01-23,Thursday,17:25:00,9.06,-0.04400000000000013,-5.104408352668229,2025-01-23,,,Exit Condition Met For Trade
24,2025-01-24,,13:30:00,3380.94,,,,,2025-01-24,,17:25:00,3399.97,1.72,,,1.72,-0.6949999999999998,Exit Condition Met For Trade
24.1,2025-01-24,Friday,13:30:00,9.51,0.1,CE,3400.0,Sell,2025-01-24,Friday,17:25:00,1.22,0.829,87.17139852786539,2025-01-24,,,Exit Condition Met For Trade
24.2,2025-01-24,Friday,13:30:00,8.9,0.1,PE,3360.0,Sell,2025-01-24,Friday,17:25:00,0.01,0.8890000000000001,99.8876404494382,2025-01-24,,,Exit Condition Met For Trade
25,2025-01-25,,13:30:00,3291.67,,,,,2025-01-25,,17:25:00,3311.06,0.6900000000000001,,,0.6910000000000001,-0.33699999999999974,Exit Condition Met For Trade
25.1,2025-01-25,Saturday,13:30:00,1.64,0.1,CE,3320.0,Sell,2025-01-25,Saturday,17:25:00,0.01,0.163,99.39024390243902,2025-01-25,,,Exit Condition Met For Trade
25.2,2025-01-25,Saturday,13:30:00,5.29,0.1,PE,3280.0,Sell,2025-01-25,Saturday,17:25:00,0.01,0.528,99.8109640831758,2025-01-25,,,Exit Condition Met For Trade
26,2025-01-26,,13:30:00,3338.68,,,,,2025-01-26,,17:25:00,3309.65,-0.5900000000000001,,,0.08800000000000002,-2.0420000000000007,Exit Condition Met For Trade
26.1,2025-01-26,Sunday,13:30:00,1.79,0.1,CE,3360.0,Sell,2025-01-26,Sunday,17:25:00,0.01,0.17800000000000002,99.44134078212291,2025-01-26,,,Exit Condition Met For Trade
26.2,2025-01-26,Sunday,13:30:00,2.41,0.1,PE,3320.0,Sell,2025-01-26,Sunday,17:25:00,10.14,-0.7730000000000001,-320.74688796680493,2025-01-26,,,Exit Condition Met For Trade
27,2025-01-27,,13:30:00,3070.6,,,,,2025-01-27,,17:25:00,3063.82,3.17,,,3.17,-0.4680000000000004,Exit Condition Met For Trade
27.1,2025-01-27,Monday,13:30:00,12.76,0.1,CE,3100.0,Sell,2025-01-27,Monday,17:25:00,0.02,1.274,99.84326018808778,2025-01-27,,,Exit Condition Met For Trade
27.2,2025-01-27,Monday,13:30:00,19.08,0.1,PE,3060.0,Sell,2025-01-27,Monday,17:25:00,0.05,1.9029999999999998,99.73794549266248,2025-01-27,,,Exit Condition Met For Trade
28,2025-01-28,,13:30:00,3196.12,,,,,2025-01-28,,17:25:00,3186.14,1.3,,,1.3,-0.21100000000000008,Exit Condition Met For Trade
28.1,2025-01-28,Tuesday,13:30:00,5.57,0.1,CE,3220.0,Sell,2025-01-28,Tuesday,17:25:00,0.01,0.556,99.82046678635547,2025-01-28,,,Exit Condition Met For Trade
28.2,2025-01-28,Tuesday,13:30:00,7.55,0.1,PE,3180.0,Sell,2025-01-28,Tuesday,17:25:00,0.19,0.736,97.48344370860927,2025-01-28,,,Exit Condition Met For Trade
29,2025-01-29,,13:30:00,3156.93,,,,,2025-01-29,,17:25:00,3135.17,1.21,,,1.227,-0.7970000000000002,Exit Condition Met For Trade
29.1,2025-01-29,Wednesday,13:30:00,5.53,0.1,CE,3180.0,Sell,2025-01-29,Wednesday,17:25:00,0.01,0.552,99.81916817359856,2025-01-29,,,Exit Condition Met For Trade
29.2,2025-01-29,Wednesday,13:30:00,8.21,0.1,PE,3140.0,Sell,2025-01-29,Wednesday,17:25:00,1.56,0.665,80.9987819732034,2025-01-29,,,Exit Condition Met For Trade
30,2025-01-30,,13:30:00,3191.02,,,,,2025-01-30,,17:25:00,3225.02,1.1099999999999999,,,1.16,-0.16500000000000004,Exit Condition Met For Trade
30.1,2025-01-30,Thursday,13:30:00,4.24,0.1,CE,3220.0,Sell,2025-01-30,Thursday,17:25:00,2.58,0.16600000000000004,39.15094339622641,2025-01-30,,,Exit Condition Met For Trade
30.2,2025-01-30,Thursday,13:30:00,9.37,0.1,PE,3180.0,Sell,2025-01-30,Thursday,17:25:00,0.01,0.9359999999999999,99.89327641408752,2025-01-30,,,Exit Condition Met For Trade
31,2025-01-31,,13:30:00,3241.62,,,,,2025-01-31,,17:25:00,3327.25,-6.08,,,0.4009999999999998,-6.42,Exit Condition Met For Trade
31.1,2025-01-31,Friday,13:30:00,10.29,0.1,CE,3250.0,Sell,2025-01-31,Friday,17:25:00,76.88,-6.659000000000001,-647.1331389698737,2025-01-31,,,Exit Condition Met For Trade
31.2,2025-01-31,Friday,13:30:00,5.77,0.1,PE,3220.0,Sell,2025-01-31,Friday,17:25:00,0.01,0.576,99.82668977469672,2025-01-31,,,Exit Condition Met For Trade
32,2025-02-01,,13:30:00,3279.98,,,,,2025-02-01,,17:25:00,3248.3,-0.37999999999999995,,,0.17800000000000005,-2.553,Exit Condition Met For Trade
32.1,2025-02-01,Saturday,13:30:00,4.61,0.1,CE,3300.0,Sell,2025-02-01,Saturday,17:25:00,0.01,0.4600000000000001,99.78308026030369,2025-02-01,,,Exit Condition Met For Trade
32.2,2025-02-01,Saturday,13:30:00,4.58,0.1,PE,3260.0,Sell,2025-02-01,Saturday,17:25:00,13.0,-0.8420000000000001,-183.84279475982532,2025-02-01,,,Exit Condition Met For Trade
33,2025-02-02,,13:30:00,3101.34,,,,,2025-02-02,,17:25:00,3064.89,0.30999999999999994,,,1.138,-0.3490000000000002,Exit Condition Met For Trade
33.1,2025-02-02,Sunday,13:30:00,6.98,0.1,CE,3120.0,Sell,2025-02-02,Sunday,17:25:00,0.01,0.6970000000000001,99.8567335243553,2025-02-02,,,Exit Condition Met For Trade
33.2,2025-02-02,Sunday,13:30:00,5.89,0.1,PE,3080.0,Sell,2025-02-02,Sunday,17:25:00,9.74,-0.38500000000000006,-65.36502546689306,2025-02-02,,,Exit Condition Met For Trade
34,2025-02-03,,13:30:00,2622.0,,,,,2025-02-03,,17:25:00,2584.64,4.4399999999999995,,,4.811,-2.6850000000000005,Exit Condition Met For Trade
34.1,2025-02-03,Monday,13:30:00,27.87,0.1,CE,2640.0,Sell,2025-02-03,Monday,17:25:00,0.01,2.786,99.96411912450664,2025-02-03,,,Exit Condition Met For Trade
34.2,2025-02-03,Monday,13:30:00,26.81,0.1,PE,2600.0,Sell,2025-02-03,Monday,17:25:00,10.31,1.6500000000000001,61.544199925400974,2025-02-03,,,Exit Condition Met For Trade
35,2025-02-04,,13:30:00,2703.67,,,,,2025-02-04,,17:25:00,2764.51,-2.85,,,1.1680000000000001,-4.547000000000001,Exit Condition Met For Trade
35.1,2025-02-04,Tuesday,13:30:00,12.75,0.1,CE,2720.0,Sell,2025-02-04,Tuesday,17:25:00,50.68,-3.793,-297.4901960784314,2025-02-04,,,Exit Condition Met For Trade
35.2,2025-02-04,Tuesday,13:30:00,9.42,0.1,PE,2680.0,Sell,2025-02-04,Tuesday,17:25:00,0.01,0.9410000000000001,99.89384288747347,2025-02-04,,,Exit Condition Met For Trade
36,2025-02-05,,13:30:00,2759.27,,,,,2025-02-05,,17:25:00,2801.09,0.010000000000000009,,,0.9869999999999999,-2.0100000000000002,Exit Condition Met For Trade
36.1,2025-02-05,Wednesday,13:30:00,7.76,0.1,CE,2780.0,Sell,2025-02-05,Wednesday,17:25:00,15.78,-0.802,-103.35051546391753,2025-02-05,,,Exit Condition Met For Trade
36.2,2025-02-05,Wednesday,13:30:00,8.09,0.1,PE,2740.0,Sell,2025-02-05,Wednesday,17:25:00,0.01,0.808,99.87639060568604,2025-02-05,,,Exit Condition Met For Trade
37,2025-02-06,,13:30:00,2831.58,,,,,2025-02-06,,17:25:00,2811.8,0.019999999999999962,,,0.917,-0.8540000000000001,Exit Condition Met For Trade
37.1,2025-02-06,Thursday,13:30:00,4.07,0.1,CE,2860.0,Sell,2025-02-06,Thursday,17:25:00,0.01,0.4060000000000001,99.75429975429977,2025-02-06,,,Exit Condition Met For Trade
37.2,2025-02-06,Thursday,13:30:00,8.83,0.1,PE,2820.0,Sell,2025-02-06,Thursday,17:25:00,12.75,-0.392,-44.394110985277464,2025-02-06,,,Exit Condition Met For Trade
38,2025-02-07,,13:30:00,2713.04,,,,,2025-02-07,,17:25:00,2758.3,-0.12,,,0.7589999999999999,-0.238,Exit Condition Met For Trade
38.1,2025-02-07,Friday,13:30:00,5.16,0.1,CE,2740.0,Sell,2025-02-07,Friday,17:25:00,15.25,-1.0090000000000001,-195.54263565891472,2025-02-07,,,Exit Condition Met For Trade
38.2,2025-02-07,Friday,13:30:00,8.91,0.1,PE,2700.0,Sell,2025-02-07,Friday,17:25:00,0.01,0.8900000000000001,99.88776655443321,2025-02-07,,,Exit Condition Met For Trade
39,2025-02-08,,13:30:00,2629.79,,,,,2025-02-08,,17:25:00,2609.96,0.95,,,0.963,-0.019000000000000017,Exit Condition Met For Trade
39.1,2025-02-08,Saturday,13:30:00,7.22,0.1,CE,2640.0,Sell,2025-02-08,Saturday,17:25:00,0.01,0.7210000000000001,99.86149584487535,2025-02-08,,,Exit Condition Met For Trade
39.2,2025-02-08,Saturday,13:30:00,2.44,0.1,PE,2600.0,Sell,2025-02-08,Saturday,17:25:00,0.17,0.227,93.0327868852459,2025-02-08,,,Exit Condition Met For Trade
40,2025-02-09,,13:30:00,2662.59,,,,,2025-02-09,,17:25:00,2658.94,0.62,,,0.62,-0.3330000000000001,Exit Condition Met For Trade
40.1,2025-02-09,Sunday,13:30:00,3.97,0.1,CE,2680.0,Sell,2025-02-09,Sunday,17:25:00,0.01,0.3960000000000001,99.74811083123427,2025-02-09,,,Exit Condition Met For Trade
40.2,2025-02-09,Sunday,13:30:00,2.16,0.1,PE,2640.0,Sell,2025-02-09,Sunday,17:25:00,0.01,0.21500000000000005,99.53703703703704,2025-02-09,,,Exit Condition Met For Trade
41,2025-02-10,,13:30:00,2636.95,,,,,2025-02-10,,17:25:00,2655.14,1.4500000000000002,,,1.4500000000000002,-0.008000000000000007,Exit Condition Met For Trade
41.1,2025-02-10,Monday,13:30:00,6.38,0.1,CE,2660.0,Sell,2025-02-10,Monday,17:25:00,0.01,0.637,99.84326018808778,2025-02-10,,,Exit Condition Met For Trade
41.2,2025-02-10,Monday,13:30:00,8.13,0.1,PE,2620.0,Sell,2025-02-10,Monday,17:25:00,0.01,0.8120000000000002,99.87699876998771,2025-02-10,,,Exit Condition Met For Trade
42,2025-02-11,,13:30:00,2711.86,,,,,2025-02-11,,17:25:00,2708.88,0.9299999999999999,,,0.9550000000000001,-0.06999999999999984,Exit Condition Met For Trade
42.1,2025-02-11,Tuesday,13:30:00,3.23,0.1,CE,2740.0,Sell,2025-02-11,Tuesday,17:25:00,0.01,0.32200000000000006,99.69040247678019,2025-02-11,,,Exit Condition Met For Trade
42.2,2025-02-11,Tuesday,13:30:00,6.66,0.1,PE,2700.0,Sell,2025-02-11,Tuesday,17:25:00,0.59,0.6070000000000001,91.14114114114113,2025-02-11,,,Exit Condition Met For Trade
43,2025-02-12,,13:30:00,2618.63,,,,,2025-02-12,,17:25:00,2625.39,0.9199999999999999,,,0.929,-0.245,Exit Condition Met For Trade
43.1,2025-02-12,Wednesday,13:30:00,4.29,0.1,CE,2640.0,Sell,2025-02-12,Wednesday,17:25:00,0.17,0.41200000000000003,96.03729603729603,2025-02-12,,,Exit Condition Met For Trade
43.2,2025-02-12,Wednesday,13:30:00,5.07,0.1,PE,2600.0,Sell,2025-02-12,Wednesday,17:25:00,0.01,0.5060000000000001,99.80276134122289,2025-02-12,,,Exit Condition Met For Trade
44,2025-02-13,,13:30:00,2681.38,,,,,2025-02-13,,17:25:00,2658.24,1.08,,,1.09,-0.13000000000000012,Exit Condition Met For Trade
44.1,2025-02-13,Thursday,13:30:00,6.05,0.1,CE,2700.0,Sell,2025-02-13,Thursday,17:25:00,0.01,0.6040000000000001,99.83471074380165,2025-02-13,,,Exit Condition Met For Trade
44.2,2025-02-13,Thursday,13:30:00,4.94,0.1,PE,2660.0,Sell,2025-02-13,Thursday,17:25:00,0.12,0.48200000000000004,97.57085020242914,2025-02-13,,,Exit Condition Met For Trade
45,2025-02-14,,13:30:00,2699.36,,,,,2025-02-14,,17:25:00,2685.92,0.89,,,0.89,-0.10400000000000009,Exit Condition Met For Trade
45.1,2025-02-14,Friday,13:30:00,4.35,0.1,CE,2720.0,Sell,2025-02-14,Friday,17:25:00,0.01,0.434,99.77011494252875,2025-02-14,,,Exit Condition Met For Trade
45.2,2025-02-14,Friday,13:30:00,4.56,0.1,PE,2680.0,Sell,2025-02-14,Friday,17:25:00,0.01,0.455,99.78070175438597,2025-02-14,,,Exit Condition Met For Trade
46,2025-02-15,,13:30:00,2697.6,,,,,2025-02-15,,17:25:00,2711.17,0.28,,,0.28800000000000003,-0.21599999999999997,Exit Condition Met For Trade
46.1,2025-02-15,Saturday,13:30:00,0.95,0.1,CE,2720.0,Sell,2025-02-15,Saturday,17:25:00,0.01,0.094,98.94736842105263,2025-02-15,,,Exit Condition Met For Trade
46.2,2025-02-15,Saturday,13:30:00,1.95,0.1,PE,2680.0,Sell,2025-02-15,Saturday,17:25:00,0.01,0.194,99.48717948717949,2025-02-15,,,Exit Condition Met For Trade
47,2025-02-16,,13:30:00,2695.65,,,,,2025-02-16,,17:25:00,2711.1,0.27,,,0.27,-0.017000000000000015,Exit Condition Met For Trade
47.1,2025-02-16,Sunday,13:30:00,0.87,0.1,CE,2720.0,Sell,2025-02-16,Sunday,17:25:00,0.04,0.083,95.40229885057471,2025-02-16,,,Exit Condition Met For Trade
47.2,2025-02-16,Sunday,13:30:00,1.87,0.1,PE,2680.0,Sell,2025-02-16,Sunday,17:25:00,0.01,0.18600000000000003,99.46524064171122,2025-02-16,,,Exit Condition Met For Trade
48,2025-02-17,,13:30:00,2681.6,,,,,2025-02-17,,17:25:00,2755.77,-3.9999999999999996,,,0.2430000000000001,-6.243,Exit Condition Met For Trade
48.1,2025-02-17,Monday,13:30:00,5.58,0.1,CE,2700.0,Sell,2025-02-17,Monday,17:25:00,49.46,-4.388000000000001,-786.3799283154121,2025-02-17,,,Exit Condition Met For Trade
48.2,2025-02-17,Monday,13:30:00,3.87,0.1,PE,2660.0,Sell,2025-02-17,Monday,17:25:00,0.01,0.38600000000000007,99.74160206718348,2025-02-17,,,Exit Condition Met For Trade
49,2025-02-18,,13:30:00,2672.65,,,,,2025-02-18,,17:25:00,2681.96,0.96,,,0.971,-0.30100000000000016,Exit Condition Met For Trade
